Year,State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
2018,FL,31030.0,17637,13393,21443,10686,10757,9587,6951,2636,2757,2070,687,5302,1448,3854,4543,1237,3306,759,211,548,2543,1582,961
2018,GA,9499.0,5900,3599,6943,3557,3386,2556,2343,213,812,725,87,1080,324,756,992,238,754,88,86,2,705,429,276
2018,GU,854.0,127,727,209,22,187,645,105,540,120,25,95,66,0,66,12,0,12,54,0,54,14,4,10
2018,HI,6530.0,3055,3475,4131,1215,2916,2399,1840,559,623,475,148,1714,258,1456,1529,202,1327,185,56,129,532,240,292
2018,IA,2749.0,2508,241,1711,1491,220,1038,1017,21,325,320,5,270,206,64,215,151,64,55,55,0,196,177,19
2018,ID,2012.0,1289,723,1297,772,525,715,517,198,209,158,51,324,166,158,293,138,155,31,28,3,215,146,69
2018,IL,10643.0,8701,1942,6752,4876,1876,3891,3825,66,1223,1203,20,1625,921,704,1470,778,692,155,143,12,804,574,230
2018,IN,5258.0,4679,579,3776,3205,571,1482,1474,8,481,478,3,449,402,47,428,381,47,21,21,0,539,491,48
2018,KS,2216.0,1859,357,1443,1097,346,773,762,11,217,215,2,300,191,109,278,169,109,22,22,0,195,167,28
2018,KY,3688.0,2820,868,2735,1956,779,953,864,89,286,262,24,369,279,90,349,262,87,20,17,3,369,308,61
2018,LA,3059.0,1994,1065,2540,1502,1038,519,492,27,164,156,8,476,156,320,467,147,320,9,9,0,406,362,44
2018,MA,20068.0,19083,985,6811,5828,983,13257,13255,2,4149,4148,1,2122,1803,319,1373,1054,319,749,749,0,985,934,51
2018,MD,7144.0,5380,1764,4914,3382,1532,2230,1998,232,699,640,59,1409,720,689,1259,608,651,150,112,38,574,470,104
2018,ME,2516.0,2418,98,1450,1359,91,1066,1059,7,341,339,2,215,214,1,198,197,1,17,17,0,119,106,13
2018,MI,8351.0,7452,899,5209,4390,819,3142,3062,80,965,938,27,861,677,184,756,583,173,105,94,11,693,646,47
2018,MN,7243.0,6122,1121,3993,3019,974,3250,3103,147,979,935,44,1066,712,354,970,631,339,96,81,15,301,250,51
2018,MO,5883.0,4669,1214,3776,2634,1142,2107,2035,72,706,684,22,1043,655,388,819,454,365,224,201,23,507,415,92
2018,MP,1044.0,22,1022,357,22,335,687,0,687,151,0,151,0,0,0,0,0,0,0,0,0,0,0,0
2018,MS,1352.0,731,621,1024,461,563,328,270,58,112,95,17,279,60,219,255,40,215,24,20,4,102,37,65
2018,MT,1405.0,1032,373,983,682,301,422,350,72,134,112,22,200,112,88,183,97,86,17,15,2,198,125,73
2018,NC,9268.0,6818,2450,6451,4521,1930,2817,2297,520,897,725,172,1293,731,562,1175,674,501,118,57,61,884,735,149
2018,ND,542.0,494,48,467,419,48,75,75,0,27,27,0,76,76,0,69,69,0,7,7,0,9,9,0
2018,NE,2421.0,2277,144,1745,1608,137,676,669,7,236,234,2,455,398,57,380,325,55,75,73,2,171,168,3
2018,NH,1450.0,1296,154,835,693,142,615,603,12,215,210,5,161,98,63,141,85,56,20,13,7,143,136,7
2018,NJ,9398.0,7775,1623,6048,4470,1578,3350,3305,45,1093,1080,13,1286,538,748,1212,464,748,74,74,0,555,470,85
2018,NM,2551.0,1755,796,1949,1231,718,602,524,78,201,174,27,891,540,351,814,487,327,77,53,24,290,177,113
2018,NV,7544.0,3305,4239,7058,2873,4185,486,432,54,167,151,16,648,275,373,637,264,373,11,11,0,723,530,193
2018,NY,91897.0,87603,4294,39827,35562,4265,52070,52041,29,16368,16356,12,7195,5570,1625,5829,4206,1623,1366,1364,2,1224,1184,40
2018,OH,10249.0,8934,1315,6929,5733,1196,3320,3201,119,1015,980,35,730,425,305,700,395,305,30,30,0,749,694,55
2018,OK,3871.0,2680,1191,2823,1848,975,1048,832,216,327,257,70,908,330,578,804,257,547,104,73,31,313,206,107
2018,OR,14476.0,5551,8925,11139,4027,7112,3337,1524,1813,1108,502,606,4321,960,3361,4013,862,3151,308,98,210,1363,600,763
2018,PA,13512.0,11768,1744,8163,6449,1714,5349,5319,30,1760,1751,9,1408,871,537,1318,785,533,90,86,4,982,910,72
2018,PR,3182.0,670,2512,2921,580,2341,261,90,171,75,31,44,1091,155,936,1074,151,923,17,4,13,82,18,64
