RegionName,StateName,SizeRank,RegionID,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020
"Oxford, NC",NC,533,753910,141859,142288,142822,143306,143785,144257,144772,145262,145743,146231,146810,147368,147912,148444,149090,149773,150533,151216,151820,152374,153037,153778,154421,155097,155716,156447,157042,157769,158492,159265,160047,160870,161663,162449,163346,164428,165706,166970,168131,169079,169816,170576,171397,172326,173203,174052,175050,176038,176953,177601,178273,179040,179913,180830,181731,182512,183108,183619,184053,184527,184941,185562,186269,187008,187794,188544,189295,190103,191118,192253
"Columbus, MS",MS,534,394490,105613,106049,106522,106878,107337,107589,107897,107947,107809,107575,107571,107888,108253,108501,108645,108856,108978,108953,108756,108759,108966,109294,109098,108412,107629,107218,106961,106645,106369,106241,106279,106217,106235,106162,106273,106545,106964,107304,107681,108139,108530,109015,109446,110183,110802,111369,112000,112651,113209,113665,114053,114544,114946,115346,115770,116287,116723,117098,117281,117500,117805,118148,118488,118708,119019,119249,119452,119434,119508,119658
"Norwalk, OH",OH,535,394923,91884,91882,91708,91627,91724,92428,93206,93795,93761,93693,93907,94277,94798,95050,95404,95683,96053,96294,96515,96911,97443,98040,98477,98898,99260,99850,100475,101004,101419,101663,102156,102569,103180,103549,103997,104414,104857,105307,105609,106005,106312,106662,106855,107217,107634,108223,108848,109584,110273,110899,111788,112663,113287,113601,113858,114483,114953,115561,115847,116151,116435,116721,116856,116956,117297,117879,118504,118739,118987,119066
"Barre, VT",VT,536,394362,180602,180997,181427,181668,181795,181777,181814,181899,181862,181757,181848,181946,182494,183531,184849,185770,185787,185691,185716,185839,185813,185708,186049,186754,186702,186384,186303,187301,189146,190655,190999,192084,194138,197660,200523,203164,205256,206859,207756,208172,208437,209791,213657,216895,218974,218847,218154,217449,217833,219446,221296,220944,222031,222842,224342,223919,223688,222908,223057,222921,223317,223059,222969,224688,225353,225921,225148,226155,227565,230366
"Kinston, NC",NC,537,394750,75200,75383,75565,75742,75866,75970,76091,76269,76467,76651,76848,77037,77284,77503,77792,78079,78407,78690,78914,79086,79237,79452,79629,79819,79903,80038,80181,80320,80496,80684,81028,81345,81671,81964,82307,82696,83136,83525,83835,84223,84569,84941,85083,85308,85495,85703,85993,86368,86771,86912,86976,86995,87170,87422,87727,88039,88306,88498,88551,88499,88498,88712,89024,89338,89549,89691,89878,90034,90256,90545
"Sterling, IL",IL,538,395131,92250,92535,92727,92982,93295,93635,93963,94216,94496,94751,95001,95226,95528,95914,96344,96709,96981,97267,97541,97911,98183,98385,98532,98684,98908,99104,99353,99647,100010,100333,100607,100801,101079,101405,101821,102209,102473,102648,102731,102799,102875,102958,103065,103212,103356,103621,103923,104252,104480,104650,104821,105010,105381,105787,106218,106572,106923,107010,106883,106704,106762,106881,107008,107102,107020,106894,106723,106587,106422,106366
"Palestine, TX",TX,539,394956,91379,91904,92455,92838,93259,93586,94056,94530,95096,95654,95878,95952,95912,96138,96410,96806,97279,97819,98224,98617,98849,99017,99281,99753,100313,100743,101138,101461,101670,101785,102010,102243,102382,102479,102689,103045,103359,103720,104176,104613,105004,105249,105453,105532,105745,105964,106293,106496,106829,107200,107219,107248,107225,107562,107816,108184,108533,108903,109025,109120,109143,109112,109289,109454,109675,109679,109713,109684,109593,109461
"Dublin, GA",GA,540,394540,76186,76538,76799,77196,77618,78108,78549,78920,79351,79707,80118,80415,80735,81079,81562,81997,82455,82831,83309,83774,84149,84492,84866,85306,85764,86121,86502,86914,87330,87698,88073,88572,89216,89949,90720,91390,92096,92697,93242,93740,94290,94881,95309,95672,95954,96261,96768,97454,98126,98591,98981,99225,99506,99808,100291,100781,101223,101582,101654,101634,101593,101765,101987,102315,102552,102728,102804,102848,102912,102987
"Vicksburg, MS",MS,541,395189,109619,110068,110433,110734,111072,111453,111847,112222,112381,112470,112532,112697,112839,112991,113238,113316,113545,113687,114059,114326,114639,114909,115146,115480,115767,116114,116281,116337,116267,116207,116238,116452,116725,117029,117430,117955,118514,119081,119235,120141,120914,122002,122376,122758,123062,123451,123501,123292,123018,123459,124296,124859,124985,125022,125219,125531,125818,126222,126626,127222,127725,127606,127356,126901,126802,126542,126403,126040,125608,124922
"Point Pleasant, WV",WV,542,394989,75490,75730,76005,76247,76559,76827,77128,77370,77652,77825,77950,78054,78328,78712,79095,79395,79577,79823,80091,80482,80775,81060,81270,81543,81652,81711,81759,81997,82208,82393,82562,82753,82968,83200,83652,84097,84667,85135,85577,85877,86395,86905,87349,87574,87846,88192,88562,88906,89104,89327,89617,90058,90395,90665,90928,91355,91783,92134,92218,92343,92591,92869,93102,93244,93357,93515,93700,93845,93949,94055
