RegionID,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08
50677,Alhambra,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,430,441300,446400,449000,450900,451900,452700,453000,452700,452200,452700,454000,455600,456100,455100,453900,451600,447100,442400,438400,434500,430800,428000,425500,421700,417800,415800,415200,416400,420400,424400,426400,427200,428000,429100,431800,435000,438000,441500,446200,451300,458700,467200,473900,480100,486300,491300,496100,501200,505800,510900,517500,523900,527800,530800,535000,539200,543400,548600,553200,555800,557500,558000,557900,557400,556600,555800,557700,561100,563200,562800,562500,562800,563300,564500,567000,569200,570500,571600,572400,572600
20128,Redwood City,CA,San Francisco,San Mateo,438,735900,740000,738000,729900,717600,709600,709200,713000,714500,710200,705300,706000,712800,719600,719200,716600,714000,705000,691100,681800,680200,684400,691200,695700,694300,688700,687900,696000,707900,724500,743700,755400,760500,769600,782600,790100,793700,808400,831100,847200,858400,869900,877400,885000,895300,905600,916900,929300,941200,951300,962200,972700,979500,982700,989000,1000500,1020200,1042000,1057600,1067500,1079900,1097000,1117200,1141000,1168500,1193500,1214100,1230100,1238200,1242500,1250000,1259500,1275300,1292400,1304700,1314300,1325200,1333000,1335500,1335100
396020,Arden-Arcade,CA,Sacramento,Sacramento,441,243100,240600,242000,241800,239900,238000,235600,231900,228600,226600,223800,220700,217800,214600,211200,208600,206100,203400,200000,197500,196800,197100,196900,196700,196000,195400,194500,193100,192300,192800,194700,197300,200500,204000,208300,213300,218300,222600,226700,231600,236900,243000,249700,255900,260700,263800,265700,267400,269000,269900,270400,272100,275100,276800,277700,278800,278500,276400,275600,275800,276500,278500,281900,284900,287400,289500,291400,292500,293700,295800,298300,301300,304700,307100,308300,309200,310100,310500,311800,313500
7784,Watsonville,CA,Santa Cruz,Santa Cruz,451,299800,296500,295700,296900,298800,300600,302900,304700,304600,303300,300000,297500,296400,294600,292200,289700,289100,291700,295200,297700,299000,299600,300900,300900,298300,295300,293800,290900,287700,286400,287800,288000,288000,290700,296900,304100,310200,313500,315200,318200,324000,330400,334300,339100,347300,355100,360300,363900,367000,372000,379900,389100,396700,402200,407000,411700,416800,423500,431300,437000,439200,439300,440300,442900,445200,445200,445300,447100,448900,449800,451800,455300,458700,463700,469700,474300,476700,479200,482700,486500
12292,Lakewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,453,392200,395900,395600,396600,397800,397400,396400,396300,395300,393100,390700,388400,385900,383700,381000,377300,374200,371700,368600,365400,362300,359200,357200,355900,354600,353600,353900,356000,359400,362600,365000,367000,368700,370400,373600,377800,381700,386900,394200,401000,407200,414400,421400,427300,432600,437600,441400,444200,446400,448100,449900,451600,453200,454900,457800,461000,463900,465200,464900,464400,465100,467200,470200,473200,475900,478800,481600,484500,487900,491800,496000,498200,499300,501300,505100,508900,512000,514000,515200,515900
27491,Tustin,CA,Los Angeles-Long Beach-Anaheim,Orange,462,494200,491200,495200,499400,500000,496100,490900,486900,484000,481500,479500,476300,473400,470600,466300,461300,458200,454900,449700,445000,442900,442200,441600,441200,441700,442300,441700,441900,444600,449200,454400,458700,462300,466900,473400,481200,489300,498700,509200,519700,529700,540500,550600,559200,566100,570700,572400,573300,574900,577200,581100,585400,589300,594100,599300,601900,601600,599400,598200,599700,602800,605800,608600,610900,612900,615000,618500,621600,624700,628300,631700,634100,636700,639500,642100,644400,645600,646900,649100,651200
34637,Walnut Creek,CA,San Francisco,Contra Costa,464,550800,546600,542600,540200,540700,541600,539500,535800,533200,529300,524600,522300,519000,515300,514600,511500,507000,504400,501200,497100,495300,495600,497400,495400,492100,494700,501500,508000,514000,519400,523300,529200,537100,545100,550000,554500,561100,571100,583000,595400,606800,619100,633000,645000,651900,656500,661800,671000,679500,681400,679600,680800,684100,688100,691500,691600,690100,692700,699900,707600,712500,715900,721300,729800,735800,737400,741400,748900,754500,758500,764700,771200,777300,781900,785000,786900,788500,789100,790800,793300
14634,Whittier,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,467,383800,384400,381900,381300,381500,381300,380500,379900,378800,377800,377200,376700,376000,375000,373200,369600,365800,362400,358800,354800,351300,348100,345900,344200,342400,341700,342800,345500,349100,353300,357000,360100,362500,365300,369300,373400,376900,381400,388000,394500,400900,407400,414200,420700,426100,429700,432500,435100,437800,440300,442700,444300,444900,445600,447400,449100,450600,451500,452500,453700,455600,457600,459600,461700,464400,467100,469600,471600,474300,477900,481700,484000,486000,489300,493700,497000,499300,501700,504100,505600
34278,Thousand Oaks,CA,Ventura,Ventura,471,543000,544400,542700,540400,537400,534900,532800,532700,533400,531500,529700,528400,523500,517300,514900,515100,516800,517100,512300,503400,495600,492200,494300,498500,497200,491700,489500,494200,499400,500900,501700,503000,505300,510100,515600,518800,523100,530400,538000,546100,557500,568700,576800,585000,593700,598200,599900,598500,597200,601200,608300,611400,611700,613900,617500,620000,621700,624500,628600,633300,638300,641200,641100,640300,641300,643700,646900,650600,654200,657500,660700,662200,663000,665000,667600,668300,668200,669200,672000,674800
27512,Upland,CA,Riverside,San Bernardino,472,385100,389000,390200,391600,391000,389600,388100,386300,384300,381900,381200,381300,381000,379900,378700,376600,374700,373200,370600,367100,364200,363100,362600,360800,359200,359300,359700,358700,359200,362200,365200,365900,367200,371700,378300,383100,385500,387500,393200,403100,412200,418200,425200,433800,440600,444700,448500,452100,455400,458000,460100,462600,466500,470200,472300,474400,477500,481600,485400,487600,487900,489200,491700,493700,495200,495900,496500,498100,500000,500500,500000,498900,498500,501200,505900,508700,510400,512600,515000,517100
